trait_id,label_it,label_en,biome,morphotype,rules_count,species_count
ali_fulminee,Ali Fulminee,Ali Fulminee,stratosfera_tempestosa,,1,1
ali_fulminee,Ali Fulminee,Ali Fulminee,stratosfera_tempestosa,cursoriale_quadrupede,0,1
ali_ioniche,Ali Ioniche,Ionic Wings,canopia_ionica,,1,1
ali_ioniche,Ali Ioniche,Ionic Wings,canopia_ionica,cursoriale_quadrupede,0,1
ali_membrana_sonica,Ali a Membrana Sonica,Sonic Membrane Wings,caverna_risonante,,1,1
ali_membrana_sonica,Ali a Membrana Sonica,Sonic Membrane Wings,caverna_risonante,cursoriale_quadrupede,0,1
antenne_dustsense,Antenne Dustsense,Dustsense Antennae,pianura_salina_iperarida,,1,1
antenne_dustsense,Antenne Dustsense,Dustsense Antennae,pianura_salina_iperarida,cursoriale_quadrupede,0,1
antenne_eco_turbina,Antenne Eco Turbina,Antenne Eco Turbina,dorsale_termale_tropicale,,1,1
antenne_eco_turbina,Antenne Eco Turbina,Antenne Eco Turbina,dorsale_termale_tropicale,cursoriale_quadrupede,0,1
antenne_flusso_mareale,Antenne Flusso Mareale,Antenne Flusso Mareale,laguna_bioreattiva,,1,1
antenne_flusso_mareale,Antenne Flusso Mareale,Antenne Flusso Mareale,laguna_bioreattiva,cursoriale_quadrupede,0,1
antenne_microonde_cavernose,Antenne Microonde Cavernose,Antenne Microonde Cavernose,caverna_risonante,,1,1
antenne_microonde_cavernose,Antenne Microonde Cavernose,Antenne Microonde Cavernose,caverna_risonante,cursoriale_quadrupede,0,1
antenne_plasmatiche_tempesta,Antenne Plasmatiche di Tempesta,Storm Plasma Antennae,cicloni_psionici,cursoriale_quadrupede,0,1
antenne_reagenti,Antenne Reagenti,Antenne Reagenti,foresta_acida,,1,1
antenne_reagenti,Antenne Reagenti,Antenne Reagenti,foresta_acida,cursoriale_quadrupede,0,1
antenne_tesla,Antenne Tesla,Antenne Tesla,canopia_ionica,,1,1
antenne_tesla,Antenne Tesla,Antenne Tesla,canopia_ionica,cursoriale_quadrupede,0,1
antenne_waveguide,Antenne Waveguide,Antenne Waveguide,reef_luminescente,,1,1
antenne_waveguide,Antenne Waveguide,Antenne Waveguide,reef_luminescente,cursoriale_quadrupede,0,1
antenne_wideband,Antenne Wideband,Antenne Wideband,steppe_algoritmiche,,1,1
antenne_wideband,Antenne Wideband,Antenne Wideband,steppe_algoritmiche,cursoriale_quadrupede,0,1
appendici_risonanti_marea,Appendici Risonanti Marea,Appendici Risonanti Marea,laguna_bioreattiva,,1,1
appendici_risonanti_marea,Appendici Risonanti Marea,Appendici Risonanti Marea,laguna_bioreattiva,cursoriale_quadrupede,0,1
appendici_thermotattiche,Appendici Thermotattiche,Appendici Thermotattiche,abisso_vulcanico,,1,1
appendici_thermotattiche,Appendici Thermotattiche,Appendici Thermotattiche,abisso_vulcanico,cursoriale_quadrupede,0,1
armatura_pietra_planare,Armatura di Pietra Planare,Planar Stone Plating,rovine_planari,cursoriale_quadrupede,0,1
armatura_pietra_planare,Armatura di Pietra Planare,Planar Stone Plating,rovine_planari,scavenger_corazzato,0,1
artigli_acidofagi,Artigli Acidofagi,Artigli Acidofagi,foresta_acida,,1,1
artigli_acidofagi,Artigli Acidofagi,Artigli Acidofagi,foresta_acida,cursoriale_quadrupede,0,1
artigli_induzione,Artigli Induzione,Artigli Induzione,canopia_ionica,,1,1
artigli_induzione,Artigli Induzione,Artigli Induzione,canopia_ionica,cursoriale_quadrupede,0,1
artigli_radice,Artigli Radice,Artigli Radice,mangrovieto_cinetico,,1,1
artigli_radice,Artigli Radice,Artigli Radice,mangrovieto_cinetico,cursoriale_quadrupede,0,1
artigli_scivolo_silente,Artigli Scivolo Silente,Artigli Scivolo Silente,caverna_risonante,,1,1
artigli_scivolo_silente,Artigli Scivolo Silente,Artigli Scivolo Silente,caverna_risonante,cursoriale_quadrupede,0,1
artigli_sette_vie,Artigli a Sette Vie,Seven-Way Talons,caverna_risonante,,1,2
artigli_sette_vie,Artigli a Sette Vie,Seven-Way Talons,caverna_risonante,cursoriale_quadrupede,0,2
artigli_sette_vie,Artigli a Sette Vie,Seven-Way Talons,dorsale_termale_tropicale,cursoriale_quadrupede,1,2
artigli_sette_vie,Artigli a Sette Vie,Seven-Way Talons,mezzanotte_orbitale,cursoriale_quadrupede,1,1
artigli_sette_vie,Artigli a Sette Vie,Seven-Way Talons,rovine_planari,cursoriale_quadrupede,0,2
artigli_sghiaccio_glaciale,Artigli Sghiaccio Glaciale,Artigli Sghiaccio Glaciale,calotte_glaciali,cursoriale_quadrupede,0,1
artigli_vetrificati,Artigli Vetrificati,Artigli Vetrificati,caldera_glaciale,,1,1
artigli_vetrificati,Artigli Vetrificati,Artigli Vetrificati,caldera_glaciale,cursoriale_quadrupede,0,1
aura_scudo_radianza,Aura Scudo di Radianza,Radiant Shield Aura,rovine_planari,volatore_planatore,0,1
baffi_mareomotori,Baffi Mareomotori,Baffi Mareomotori,mangrovieto_cinetico,,1,1
baffi_mareomotori,Baffi Mareomotori,Baffi Mareomotori,mangrovieto_cinetico,cursoriale_quadrupede,0,1
barbigli_sensori_plasma,Barbigli Sensori Plasma,Barbigli Sensori Plasma,stratosfera_tempestosa,,1,1
barbigli_sensori_plasma,Barbigli Sensori Plasma,Barbigli Sensori Plasma,stratosfera_tempestosa,cursoriale_quadrupede,0,1
barriere_miasma_glaciale,Barriere Miasma Glaciale,Barriere Miasma Glaciale,caldera_glaciale,,1,1
barriere_miasma_glaciale,Barriere Miasma Glaciale,Barriere Miasma Glaciale,caldera_glaciale,cursoriale_quadrupede,0,1
batteri_endosimbionti_chemio,Batteri Endosimbionti Chemio,Batteri Endosimbionti Chemio,abisso_vulcanico,,1,1
batteri_endosimbionti_chemio,Batteri Endosimbionti Chemio,Batteri Endosimbionti Chemio,abisso_vulcanico,cursoriale_quadrupede,0,1
batteri_termofili_endosimbiosi,Batteri Termofili Endosimbiosi,Batteri Termofili Endosimbiosi,dorsale_termale_tropicale,,1,1
batteri_termofili_endosimbiosi,Batteri Termofili Endosimbiosi,Batteri Termofili Endosimbiosi,dorsale_termale_tropicale,cursoriale_quadrupede,0,1
biochip_memoria,Biochip Memoria,Biochip Memoria,steppe_algoritmiche,,1,1
biochip_memoria,Biochip Memoria,Biochip Memoria,steppe_algoritmiche,cursoriale_quadrupede,0,1
biofilm_glow,Biofilm Glow,Biofilm Glow,reef_luminescente,,1,1
biofilm_glow,Biofilm Glow,Biofilm Glow,reef_luminescente,cursoriale_quadrupede,0,1
biofilm_iperarido,Biofilm Iperarido,Biofilm Iperarido,pianura_salina_iperarida,,1,1
biofilm_iperarido,Biofilm Iperarido,Biofilm Iperarido,pianura_salina_iperarida,cursoriale_quadrupede,0,1
branchie_dual_mode,Branchie Dual Mode,Branchie Dual Mode,laguna_bioreattiva,,1,1
branchie_dual_mode,Branchie Dual Mode,Branchie Dual Mode,laguna_bioreattiva,cursoriale_quadrupede,0,1
branchie_eoliche,Branchie Eoliche,Branchie Eoliche,stratosfera_tempestosa,,1,1
branchie_eoliche,Branchie Eoliche,Branchie Eoliche,stratosfera_tempestosa,cursoriale_quadrupede,0,1
branchie_metalloidi,Branchie Metalloidi,Branchie Metalloidi,abisso_vulcanico,,1,1
branchie_metalloidi,Branchie Metalloidi,Branchie Metalloidi,abisso_vulcanico,cursoriale_quadrupede,0,1
branchie_microfiltri,Branchie Microfiltri,Branchie Microfiltri,reef_luminescente,,1,1
branchie_microfiltri,Branchie Microfiltri,Branchie Microfiltri,reef_luminescente,cursoriale_quadrupede,0,1
branchie_osmotiche_salmastra,Branchie Osmotiche Salmastre,Branchie Osmotiche Salmastre,delta_salmastri,cursoriale_quadrupede,0,1
branchie_solfatiche,Branchie Solfatiche,Branchie Solfatiche,caldera_glaciale,,1,1
branchie_solfatiche,Branchie Solfatiche,Branchie Solfatiche,caldera_glaciale,cursoriale_quadrupede,0,1
branchie_turbina,Branchie Turbina,Branchie Turbina,dorsale_termale_tropicale,,1,1
branchie_turbina,Branchie Turbina,Branchie Turbina,dorsale_termale_tropicale,cursoriale_quadrupede,0,1
bulbi_radici_permafrost,Bulbi Radici del Permafrost,Bulbi Radici del Permafrost,permafrost_psionico,cursoriale_quadrupede,0,1
camere_anticorrosione,Camere Anticorrosione,Camere Anticorrosione,foresta_acida,,1,1
camere_anticorrosione,Camere Anticorrosione,Camere Anticorrosione,foresta_acida,cursoriale_quadrupede,0,1
camere_mirage,Camere Mirage,Camere Mirage,pianura_salina_iperarida,,1,1
camere_mirage,Camere Mirage,Camere Mirage,pianura_salina_iperarida,cursoriale_quadrupede,0,1
camere_nutrienti_vent,Camere Nutrienti Vent,Camere Nutrienti Vent,dorsale_termale_tropicale,,1,1
camere_nutrienti_vent,Camere Nutrienti Vent,Camere Nutrienti Vent,dorsale_termale_tropicale,cursoriale_quadrupede,0,1
capillari_criogenici,Capillari Criogenici,Capillari Criogenici,caldera_glaciale,,1,1
capillari_criogenici,Capillari Criogenici,Capillari Criogenici,caldera_glaciale,cursoriale_quadrupede,0,1
capillari_fluoridici,Capillari Fluoridici,Capillari Fluoridici,foresta_acida,,1,1
