trait_id,label_it,label_en,biome,morphotype,rules_count,species_count
artigli_sette_vie,Artigli a Sette Vie,Seven-Way Talons,caverna_risonante,,1,0
carapace_fase_variabile,Carapace a Variazione di Fase,Phase-Shifting Carapace,caverna_risonante,,1,0
coda_frusta_cinetica,Coda a Frusta Cinetica,Kinetic Lash Tail,caverna_risonante,,1,0
criostasi_adattiva,Criostasi,Adaptive Cryostasis,caverna_risonante,,1,0
eco_interno_riflesso,Riflesso dell'Eco Interno,Internal Echo Reflex,caverna_risonante,,1,0
filamenti_digestivi_compattanti,Filamento materiali digeriti,Digestive Compaction Filaments,caverna_risonante,,1,0
lingua_tattile_trama,Lingua Tattile Trama-Sensibile,Texture-Sensing Tongue,caverna_risonante,,1,0
mimetismo_cromatico_passivo,Ghiandole di Mimetismo Cromatico Passivo,Passive Chromatic Mimicry,caverna_risonante,,1,0
nucleo_ovomotore_rotante,"Uovo rotaia, uovo grande e uova piccole dentro...",Rotating Ovomotor Core,caverna_risonante,,1,0
occhi_infrarosso_composti,Occhi Composti ad Infrarosso,Infrared Compound Eyes,caverna_risonante,,1,0
olfatto_risonanza_magnetica,Olfatto di Risonanza Magnetica,Magnetic Resonance Scent,caverna_risonante,,1,0
respiro_a_scoppio,Respiro a scoppio,Burst Breath Propulsion,caverna_risonante,,1,0
sacche_galleggianti_ascensoriali,Sacche galleggianti ascensoriali,Elevating Buoyancy Sacs,caverna_risonante,,1,0
sangue_piroforico,Sangue che prende fuoco a contatto con l'ossigeno,Pyrophoric Blood,caverna_risonante,,1,0
scheletro_idro_regolante,Scheletro Idro-Regolante,Hydro-Regulating Skeleton,caverna_risonante,,1,0
secrezione_rallentante_palmi,Mani secernano liquido rallentante,Retarding Palm Secretions,caverna_risonante,,1,0
sonno_emisferico_alternato,Dormire con solo metà cervello alla volta,Unihemispheric Sleep,caverna_risonante,,1,0
spore_psichiche_silenziate,Spora Psichica Silenziosa,Silent Psychic Spores,caverna_risonante,,1,0
struttura_elastica_amorfa,"Struttura elastica, allungabile, amorfa, retrattile",Elastic Amorphous Frame,caverna_risonante,,1,0
ventriglio_gastroliti,"Denti sonci (ciottoli/sassi), ti nutri di tutto",Gastrolith Grinding Gizzard,caverna_risonante,,1,0
