id,label,category,type,path,completeness,data_origin,biome_tags,usage_tags,has_biome,has_species_link
artigli_a_sette_vie,i18n:traits.artigli_a_sette_vie.label,TODO/import_esterno,import_esterno,data/traits/_drafts/artigli_a_sette_vie.json,,appendix_a_canvas_originale,,,false,false
balance_reflex,i18n:traits.balance_reflex.label,TODO/import_esterno,import_esterno,data/traits/_drafts/balance_reflex.json,,incoming_sentience_traits_v1_0_t2_pre_sociale,,,false,false
coda_a_frusta_cinetica,i18n:traits.coda_a_frusta_cinetica.label,TODO/import_esterno,import_esterno,data/traits/_drafts/coda_a_frusta_cinetica.json,,appendix_a_canvas_originale,,,false,false
craft_loop,i18n:traits.craft_loop.label,TODO/import_esterno,import_esterno,data/traits/_drafts/craft_loop.json,,incoming_sentience_traits_v1_0_t5_avanzato,,,false,false
criostasi,i18n:traits.criostasi.label,TODO/import_esterno,import_esterno,data/traits/_drafts/criostasi.json,,appendix_a_canvas_originale,,,false,false
echoic_trace,i18n:traits.echoic_trace.label,TODO/import_esterno,import_esterno,data/traits/_drafts/echoic_trace.json,,incoming_sentience_traits_v1_0_t3_emergente,,,false,false
executive_loop,i18n:traits.executive_loop.label,TODO/import_esterno,import_esterno,data/traits/_drafts/executive_loop.json,,incoming_sentience_traits_v1_0_t6_sapiente,,,false,false
focus_frazionato_2,i18n:traits.focus_frazionato_2.label,TODO/import_esterno,import_esterno,data/traits/_drafts/focus_frazionato_2.json,,appendix_a_canvas_originale,,,false,false
group_form,i18n:traits.group_form.label,TODO/import_esterno,import_esterno,data/traits/_drafts/group_form.json,,incoming_sentience_traits_v1_0_t4_civico,,,false,false
interoception_seed,i18n:traits.interoception_seed.label,TODO/import_esterno,import_esterno,data/traits/_drafts/interoception_seed.json,,incoming_sentience_traits_v1_0_t1_proto_sentiente,,,false,false
mimicry_basic,i18n:traits.mimicry_basic.label,TODO/import_esterno,import_esterno,data/traits/_drafts/mimicry_basic.json,,incoming_sentience_traits_v1_0_t2_pre_sociale,,,false,false
postural_endurance,i18n:traits.postural_endurance.label,TODO/import_esterno,import_esterno,data/traits/_drafts/postural_endurance.json,,incoming_sentience_traits_v1_0_t6_sapiente,,,false,false
risonanza_di_branco_2,i18n:traits.risonanza_di_branco_2.label,TODO/import_esterno,import_esterno,data/traits/_drafts/risonanza_di_branco_2.json,,appendix_a_canvas_originale,,,false,false
sacche_galleggianti_ascensoriali_2,i18n:traits.sacche_galleggianti_ascensoriali_2.label,TODO/import_esterno,import_esterno,data/traits/_drafts/sacche_galleggianti_ascensoriali_2.json,,appendix_a_canvas_originale,,,false,false
scheletro_idro_regolante_2,i18n:traits.scheletro_idro_regolante_2.label,TODO/import_esterno,import_esterno,data/traits/_drafts/scheletro_idro_regolante_2.json,,appendix_a_canvas_originale,,,false,false
sheltering,i18n:traits.sheltering.label,TODO/import_esterno,import_esterno,data/traits/_drafts/sheltering.json,,incoming_sentience_traits_v1_0_t5_avanzato,,,false,false
startle_reflex,i18n:traits.startle_reflex.label,TODO/import_esterno,import_esterno,data/traits/_drafts/startle_reflex.json,,incoming_sentience_traits_v1_0_t1_proto_sentiente,,,false,false
struttura_elastica_amorfa_2,i18n:traits.struttura_elastica_amorfa_2.label,TODO/import_esterno,import_esterno,data/traits/_drafts/struttura_elastica_amorfa_2.json,,appendix_a_canvas_originale,,,false,false
tattiche_di_branco_2,i18n:traits.tattiche_di_branco_2.label,TODO/import_esterno,import_esterno,data/traits/_drafts/tattiche_di_branco_2.json,,appendix_a_canvas_originale,,,false,false
teach_action,i18n:traits.teach_action.label,TODO/import_esterno,import_esterno,data/traits/_drafts/teach_action.json,,incoming_sentience_traits_v1_0_t4_civico,,,false,false
toolseed,i18n:traits.toolseed.label,TODO/import_esterno,import_esterno,data/traits/_drafts/toolseed.json,,incoming_sentience_traits_v1_0_t3_emergente,,,false,false
fagocitosi_assorbente,i18n:traits.fagocitosi_assorbente.label,Alimentazione/Digestione,Digestione,data/traits/alimentazione/fagocitosi_assorbente.json,,coverage_q4_2025,,support,true,false
filtro_metallofago,i18n:traits.filtro_metallofago.label,Alimentazione/Digestione,Digestione,data/traits/alimentazione/filtro_metallofago.json,,coverage_q4_2025,,support,true,false
cervello_a_bassa_latenza,i18n:traits.cervello_a_bassa_latenza.label,Cognitivo/Apprendimento,Apprendimento,data/traits/cognitivo/cervello_a_bassa_latenza.json,,coverage_q4_2025,,controller,true,false
comunicazione_fotonica_coda_coda,i18n:traits.comunicazione_fotonica_coda_coda.label,Cognitivo/Sociale,Sociale,data/traits/cognitivo/comunicazione_fotonica_coda_coda.json,,coverage_q4_2025,,controller,true,false
corna_psico_conduttive,i18n:traits.corna_psico_conduttive.label,Cognitivo/Sociale,Sociale,data/traits/cognitivo/corna_psico_conduttive.json,,coverage_q4_2025,,controller,true,false
coscienza_d_alveare_diffusa,i18n:traits.coscienza_d_alveare_diffusa.label,Cognitivo/Sociale,Sociale,data/traits/cognitivo/coscienza_d_alveare_diffusa.json,,coverage_q4_2025,,controller,true,false
ali_membrana_sonica,i18n:traits.ali_membrana_sonica.label,Tegumentario/Difensivo,Difensivo,data/traits/difensivo/ali_membrana_sonica.json,,coverage_q4_2025,caverna_risonante,tank,true,false
appendici_risonanti_marea,i18n:traits.appendici_risonanti_marea.label,Tegumentario/Difensivo,Difensivo,data/traits/difensivo/appendici_risonanti_marea.json,,coverage_q4_2025,laguna_bioreattiva,tank,true,false
barriere_miasma_glaciale,i18n:traits.barriere_miasma_glaciale.label,Tegumentario/Difensivo,Difensivo,data/traits/difensivo/barriere_miasma_glaciale.json,,coverage_q4_2025,caldera_glaciale,tank,true,false
bozzolo_magnetico,i18n:traits.bozzolo_magnetico.label,Difensivo/Resistenze,Resistenze,data/traits/difensivo/bozzolo_magnetico.json,,coverage_q4_2025,,tank,true,false
branchie_microfiltri,i18n:traits.branchie_microfiltri.label,Tegumentario/Difensivo,Difensivo,data/traits/difensivo/branchie_microfiltri.json,,coverage_q4_2025,reef_luminescente,tank,true,false
campo_di_interferenza_acustica,i18n:traits.campo_di_interferenza_acustica.label,Difensivo/Camuffamento,Camuffamento,data/traits/difensivo/campo_di_interferenza_acustica.json,,coverage_q4_2025,,controller;support,true,false
capsule_paracadute,i18n:traits.capsule_paracadute.label,Tegumentario/Difensivo,Difensivo,data/traits/difensivo/capsule_paracadute.json,,coverage_q4_2025,stratosfera_tempestosa,tank,true,false
circolazione_bifasica,i18n:traits.circolazione_bifasica.label,Tegumentario/Difensivo,Difensivo,data/traits/difensivo/circolazione_bifasica.json,,coverage_q4_2025,caldera_glaciale,tank,true,false
cisti_di_ibernazione_minerale,i18n:traits.cisti_di_ibernazione_minerale.label,Difensivo/Resistenze,Resistenze,data/traits/difensivo/cisti_di_ibernazione_minerale.json,,coverage_q4_2025,,tank,true,false
coda_coppia_retroattiva,i18n:traits.coda_coppia_retroattiva.label,Tegumentario/Difensivo,Difensivo,data/traits/difensivo/coda_coppia_retroattiva.json,,coverage_q4_2025,steppe_algoritmiche,tank,true,false
cute_resistente_sali,i18n:traits.cute_resistente_sali.label,Tegumentario/Difensivo,Difensivo,data/traits/difensivo/cute_resistente_sali.json,,coverage_q4_2025,badlands,tank,true,false
enzimi_antipredatori_algali,i18n:traits.enzimi_antipredatori_algali.label,Tegumentario/Difensivo,Difensivo,data/traits/difensivo/enzimi_antipredatori_algali.json,,coverage_q4_2025,reef_luminescente,tank,true,false
filtri_planctonici,i18n:traits.filtri_planctonici.label,Tegumentario/Difensivo,Difensivo,data/traits/difensivo/filtri_planctonici.json,,coverage_q4_2025,laguna_bioreattiva,tank,true,false
ghiandole_fango_coesivo,i18n:traits.ghiandole_fango_coesivo.label,Tegumentario/Difensivo,Difensivo,data/traits/difensivo/ghiandole_fango_coesivo.json,,coverage_q4_2025,mangrovieto_cinetico,tank,true,false
giunti_antitorsione,i18n:traits.giunti_antitorsione.label,Tegumentario/Difensivo,Difensivo,data/traits/difensivo/giunti_antitorsione.json,,coverage_q4_2025,mangrovieto_cinetico,tank,true,false
