category,legacy_id,path,kind,godot_status,godot_matches
species,dune_stalker,species/dune_stalker.yaml,yaml,exact_or_asset_match,dune_stalker
species,sand_burrower,species/sand_burrower.yaml,yaml,unmapped,
species,echo_wing,species/echo_wing.yaml,yaml,unmapped,
species,rust_scavenger,species/rust_scavenger.yaml,yaml,unmapped,
species,species_index,species/species_index.yaml,yaml,unmapped,
morph,spring_legs,morph/spring_legs.yaml,yaml,semantic/translated_match,zampe_a_molla
morph,acid_gland,morph/acid_gland.yaml,yaml,semantic/translated_match,artigli_acidofagi;respiro_acido
morph,elastomer_skin,morph/elastomer_skin.yaml,yaml,semantic/translated_match,pelle_elastomera
morph,echolocate,morph/echolocate.yaml,yaml,semantic/translated_match,antenne_eco_turbina;ghiandole_eco_mappanti;skiv_echolocation
morph,burst_anaerobic,morph/burst_anaerobic.yaml,yaml,unmapped,
morph,burrow_claws,morph/burrow_claws.yaml,yaml,unmapped,
morph,ferrous_carapace,morph/ferrous_carapace.yaml,yaml,semantic/translated_match,corazze_ferro_magnetico;carapaci_ferruginosi
morph,mag_sense,morph/mag_sense.yaml,yaml,semantic/translated_match,sensori_geomagnetici;magnetic_sensitivity
morph,glide_wings,morph/glide_wings.yaml,yaml,semantic/translated_match,ali_fono_risonanti
morph,iron_spine,morph/iron_spine.yaml,yaml,unmapped,
morph,aero_exchange,morph/aero_exchange.yaml,yaml,unmapped,
morph,rust_ingest,morph/rust_ingest.yaml,yaml,unmapped,
jobs,skirmisher,jobs/skirmisher.yaml,yaml,exact_or_asset_match,skirmisher
jobs,vanguard,jobs/vanguard.yaml,yaml,exact_or_asset_match,vanguard
jobs,warden,jobs/warden.yaml,yaml,exact_or_asset_match,warden
jobs,artificer,jobs/artificer.yaml,yaml,exact_or_asset_match,artificer
jobs,invoker,jobs/invoker.yaml,yaml,exact_or_asset_match,invoker
jobs,harvester,jobs/harvester.yaml,yaml,exact_or_asset_match,harvester
biomes,starter_biomes,biomes/starter_biomes.yaml,yaml,unmapped,
biomes,desert,biomes/desert.yaml,yaml,semantic/translated_match,savana;badlands
biomes,cavern,biomes/cavern.yaml,yaml,exact_or_asset_match,caverna
biomes,badlands,biomes/badlands.yaml,yaml,exact_or_asset_match,badlands
traits,focus_frazionato,traits/focus_frazionato.yaml,yaml,unmapped,
traits,backstab,traits/backstab.yaml,yaml,unmapped,
surge,pierce,surge/pierce.yaml,yaml,unmapped,
surge,spin,surge/spin.yaml,yaml,unmapped,
surge,chain,surge/chain.yaml,yaml,unmapped,
surge,pulse,surge/pulse.yaml,yaml,exact_or_asset_match,pulse
surge,overdrive,surge/overdrive.yaml,yaml,unmapped,
tags,weapon,tags/weapon.yaml,yaml,unmapped,
tags,weapon_extra,tags/weapon_extra.yaml,yaml,unmapped,
tags,weapon_advanced,tags/weapon_advanced.yaml,yaml,unmapped,
rules,stats,rules/stats.md,md,design_reference_only,
rules,resources,rules/resources.md,md,exact_or_asset_match,resources
rules,economy,rules/economy.md,md,design_reference_only,
rules,preferences_tables,rules/preferences_tables.md,md,design_reference_only,
rules,privacy,rules/privacy.md,md,design_reference_only,
rules,checklists,rules/checklists.md,md,design_reference_only,
rules,validation,rules/validation.md,md,design_reference_only,
rules,job_gates,rules/job_gates.yaml,yaml,design_reference_only,
rules,proficiency,rules/proficiency.md,md,design_reference_only,
rules,checks,rules/checks.md,md,design_reference_only,
rules,stances,rules/stances.yaml,yaml,design_reference_only,
rules,units_grid,rules/units_grid.md,md,design_reference_only,
rules,mating_biome_links,rules/mating_biome_links.md,md,design_reference_only,
rules,tuning,rules/tuning.md,md,design_reference_only,
rules,synergies,rules/synergies.yaml,yaml,design_reference_only,
rules,synergy_tuning,rules/synergy_tuning.yaml,yaml,design_reference_only,
rules,synergy_tuning,rules/synergy_tuning.csv,csv,design_reference_only,
form,ENTP,form/ENTP.yaml,yaml,design_reference_only,
form,mbti_job_affinities,form/mbti_job_affinities.yaml,yaml,design_reference_only,
form,mbti_gates,form/mbti_gates.yaml,yaml,design_reference_only,
ennea,themes,ennea/themes.yaml,yaml,exact_or_asset_match,themes
director,regista,director/regista.md,md,design_reference_only,
director,,director/npg_template_schema.yaml,yaml,exact_or_asset_match,
director,npg_skirmisher_desert_01,director/npg_skirmisher_desert.yaml,yaml,design_reference_only,
director,npg_warden_cavern_01,director/npg_warden_cavern.yaml,yaml,design_reference_only,
director,behavior_tables,director/behavior_tables.md,md,design_reference_only,
director,npg_vanguard_desert_01,director/npg_vanguard_desert.yaml,yaml,design_reference_only,
director,npg_invoker_cavern_01,director/npg_invoker_cavern.yaml,yaml,design_reference_only,
director,npg_artificer_badlands_01,director/npg_artificer_badlands.yaml,yaml,design_reference_only,
director,npg_harvester_badlands_01,director/npg_harvester_badlands.yaml,yaml,design_reference_only,
director,regista_rewards,director/regista_rewards.yaml,yaml,design_reference_only,
director,encounter_tables,director/encounter_tables.yaml,yaml,design_reference_only,
nest,requirements,nest/requirements.yaml,yaml,design_reference_only,
social,affinity_trust,social/affinity_trust.md,md,design_reference_only,
social,mating,social/mating.md,md,exact_or_asset_match,mating
social,species_preferences,social/species_preferences.yaml,yaml,design_reference_only,
telemetry,vc,telemetry/vc.yaml,yaml,exact_or_asset_match,vc
telemetry,pf_session,telemetry/pf_session.yaml,yaml,design_reference_only,
exports/spawn_packs,pack_biome_jobs_v1,exports/spawn_packs/pack_biome_jobs_v1.json,json,unmapped,
exports/spawn_packs,pack_biome_jobs_v7,exports/spawn_packs/pack_biome_jobs_v7.json,json,unmapped,
exports/spawn_packs,pack_biome_jobs_v8_alt,exports/spawn_packs/pack_biome_jobs_v8_alt.json,json,unmapped,
modules/personality/enneagram,compat_map,modules/personality/enneagram/compat_map.json,json,unmapped,
modules/personality/enneagram,personality_module.v1,modules/personality/enneagram/personality_module.v1.json,json,unmapped,
modules/personality/enneagram,enneagramma_dataset,modules/personality/enneagram/enneagramma_dataset.json,json,unmapped,
modules/personality/enneagram,enneagramma_schema,modules/personality/enneagram/enneagramma_schema.json,json,unmapped,
modules/personality/enneagram,pg_enneagram_template,modules/personality/enneagram/pg_enneagram_template.yaml,yaml,unmapped,
modules/personality/enneagram,hook_bindings,modules/personality/enneagram/hook_bindings.ts,ts,unmapped,
modules/personality/enneagram,README_ADDON_PER_PACCHETTO,modules/personality/enneagram/README_ADDON_PER_PACCHETTO.md,md,unmapped,
modules/personality/enneagram,README_ENNEAGRAMMA,modules/personality/enneagram/README_ENNEAGRAMMA.md,md,unmapped,
modules/personality/enneagram,README_INTEGRAZIONE_MECCANICHE,modules/personality/enneagram/README_INTEGRAZIONE_MECCANICHE.md,md,unmapped,
modules/personality/enneagram,HOWTO_EVO_TACTICS,modules/personality/enneagram/HOWTO_EVO_TACTICS.md,md,unmapped,
modules/personality/enneagram,role_theme_mappings,modules/personality/enneagram/role_theme_mappings.yaml,yaml,unmapped,
modules/personality/enneagram,role_theme_profile,modules/personality/enneagram/role_theme_profile.yaml,yaml,unmapped,
