old_id,disposition,new_id_or_fuse_target
ancestor_ardipithecus_ramidus_aspettativa_di_vita_lf_02,DEDUP_RETIRE,aspettativa_di_vita
ancestor_ardipithecus_ramidus_encefalizzazione_np_02,DEDUP_RETIRE,encefalizzazione
ancestor_ardipithecus_ramidus_inibizione_cognitiva_cc_03,AUTO,inibizione_cognitiva
ancestor_ardipithecus_ramidus_iperfocalizzazione_zo_01,AUTO,iperfocalizzazione
ancestor_ardipithecus_ramidus_locus_di_controllo_zo_02,DEDUP_KEEP,locus_di_controllo
ancestor_ardipithecus_ramidus_locus_di_controllo_zo_03,DEDUP_RETIRE,locus_di_controllo
ancestor_ardipithecus_ramidus_personalita_autotelica_bb_zo_01,DEDUP_KEEP,personalita_autotelica
ancestor_ardipithecus_ramidus_personalita_autotelica_bb_zo_02,DEDUP_RETIRE,personalita_autotelica
ancestor_ardipithecus_ramidus_personalita_autotelica_bb_zo_03,DEDUP_RETIRE,personalita_autotelica
ancestor_ardipithecus_ramidus_via_mesolimbica_dp_05,AUTO,via_mesolimbica
ancestor_ardipithecus_ramidus_vie_dopaminergiche_dp_06,DEDUP_RETIRE,vie_dopaminergiche
ancestor_ardipithecus_ramidus_vie_dopaminergiche_dp_07,DEDUP_RETIRE,vie_dopaminergiche
ancestor_ardipithecus_ramidus_vie_dopaminergiche_dp_08,DEDUP_RETIRE,vie_dopaminergiche
ancestor_attacco_contromanovra_co_02,DISAMB,contromanovra_irascible
ancestor_attacco_contromanovra_co_03,DISAMB,contromanovra_wildlife
ancestor_attacco_contromanovra_co_04,DISAMB,contromanovra_predator
ancestor_attacco_difesa_di_gruppo_co_06,AUTO,difesa_di_gruppo
ancestor_attacco_forza_liberata_bb_co_01,AUTO,forza_liberata
ancestor_attacco_forza_liberata_bb_co_02,GLOSS_ONLY,forza_liberata_2
ancestor_attacco_risposta_di_combattimento_co_01,AUTO,risposta_di_combattimento
ancestor_attacco_risposta_di_soprassalto_co_05,AUTO,risposta_di_soprassalto
ancestor_australopithecus_afarensis_aspettativa_di_vita_lf_03,DEDUP_RETIRE,aspettativa_di_vita
ancestor_australopithecus_afarensis_controllo_inibitorio_cc_04,AUTO,controllo_inibitorio
ancestor_australopithecus_afarensis_efficienza_dei_termocettori_bb_th_01,AUTO,efficienza_dei_termocettori
ancestor_australopithecus_afarensis_efficienza_del_nucleo_ipotalamico_bb_th_03,AUTO,efficienza_del_nucleo_ipotalamico
ancestor_australopithecus_afarensis_efficienza_dell_area_preottica_bb_th_02,AUTO,efficienza_dell_area_preottica
ancestor_australopithecus_afarensis_encefalizzazione_np_03,DEDUP_RETIRE,encefalizzazione
ancestor_australopithecus_afarensis_termoregolazione_th_01,AUTO,termoregolazione
ancestor_australopithecus_afarensis_via_nigrostriatale_dp_09,AUTO,via_nigrostriatale
ancestor_australopithecus_afarensis_vie_dopaminergiche_dp_10,DEDUP_RETIRE,vie_dopaminergiche
ancestor_australopithecus_afarensis_vie_dopaminergiche_dp_11,DEDUP_RETIRE,vie_dopaminergiche
ancestor_australopithecus_afarensis_vie_dopaminergiche_dp_12,DEDUP_RETIRE,vie_dopaminergiche
ancestor_australopithecus_afarensis_vie_dopaminergiche_dp_13,DEDUP_RETIRE,vie_dopaminergiche
ancestor_autocontrollo_determinazione_bb_fr_01,AUTO,determinazione
ancestor_autocontrollo_determinazione_bb_fr_02,GLOSS_ONLY,determinazione_2
ancestor_autocontrollo_determinazione_bb_fr_03,GLOSS_ONLY,determinazione_3
ancestor_autocontrollo_determinazione_bb_fr_04,GLOSS_ONLY,determinazione_4
ancestor_autocontrollo_dilatazione_temporale_percettiva_fr_05,AUTO,dilatazione_temporale_percettiva
ancestor_autocontrollo_distorsione_temporale_fr_02,DISAMB,distorsione_temporale_4_1
