old_id,native_candidate,collision,label_it,label_en,tier,category,effect_kind,status,prov_code,in_glossary,in_biome_pools,in_test,logtag_selfref
ancestor_ardipithecus_ramidus_aspettativa_di_vita_lf_02,aspettativa_di_vita,INTRA_COLLISION(x3),Aspettativa di Vita,Life Expectancy,T1,neurologico,apply_status,fed,LF 02,True,False,False,False
ancestor_ardipithecus_ramidus_encefalizzazione_np_02,encefalizzazione,INTRA_COLLISION(x3),Encefalizzazione,Encephalization,T1,neurologico,apply_status,fed,NP 02,True,False,False,False
ancestor_ardipithecus_ramidus_inibizione_cognitiva_cc_03,inibizione_cognitiva,,Inibizione Cognitiva,Cognitive Inhibition,T1,neurologico,damage_reduction,,CC 03,True,True,False,False
ancestor_ardipithecus_ramidus_iperfocalizzazione_zo_01,iperfocalizzazione,,Iperfocalizzazione,Hyperfocus,T1,neurologico,damage_reduction,,ZO 01,True,False,False,False
ancestor_ardipithecus_ramidus_locus_di_controllo_zo_02,locus_di_controllo,INTRA_COLLISION(x2),Locus di Controllo,Locus of Control,T1,neurologico,damage_reduction,,ZO 02,True,False,False,False
ancestor_ardipithecus_ramidus_locus_di_controllo_zo_03,locus_di_controllo,INTRA_COLLISION(x2),Locus di Controllo,Locus of Control,T1,neurologico,damage_reduction,,ZO 03,True,False,False,False
ancestor_ardipithecus_ramidus_personalita_autotelica_bb_zo_01,personalita_autotelica,INTRA_COLLISION(x3),Personalita' Autotelica,Autotelic Personality,T2,neurologico,damage_reduction,,BB ZO 01,True,False,False,False
ancestor_ardipithecus_ramidus_personalita_autotelica_bb_zo_02,personalita_autotelica,INTRA_COLLISION(x3),Personalita' Autotelica,Autotelic Personality,T2,neurologico,damage_reduction,,BB ZO 02,True,False,False,False
ancestor_ardipithecus_ramidus_personalita_autotelica_bb_zo_03,personalita_autotelica,INTRA_COLLISION(x3),Personalita' Autotelica,Autotelic Personality,T2,neurologico,damage_reduction,,BB ZO 03,True,False,False,False
ancestor_ardipithecus_ramidus_via_mesolimbica_dp_05,via_mesolimbica,,Via Mesolimbica,Mesolimbic Pathway,T1,neurologico,damage_reduction,,DP 05,True,True,False,False
ancestor_ardipithecus_ramidus_vie_dopaminergiche_dp_06,vie_dopaminergiche,INTRA_COLLISION(x10),Vie Dopaminergiche,Dopaminergic Pathways,T1,neurologico,damage_reduction,,DP 06,True,False,False,False
ancestor_ardipithecus_ramidus_vie_dopaminergiche_dp_07,vie_dopaminergiche,INTRA_COLLISION(x10),Vie Dopaminergiche,Dopaminergic Pathways,T1,neurologico,damage_reduction,,DP 07,True,False,False,False
ancestor_ardipithecus_ramidus_vie_dopaminergiche_dp_08,vie_dopaminergiche,INTRA_COLLISION(x10),Vie Dopaminergiche,Dopaminergic Pathways,T1,neurologico,damage_reduction,,DP 08,True,False,False,False
ancestor_attacco_contromanovra_co_02,contromanovra,INTRA_COLLISION(x3),Contromanovra,Counter Maneuver,T1,neurologico,extra_damage,,CO 02,True,True,True,True
ancestor_attacco_contromanovra_co_03,contromanovra,INTRA_COLLISION(x3),Contromanovra,Counter Maneuver,T1,neurologico,extra_damage,,CO 03,True,False,True,True
ancestor_attacco_contromanovra_co_04,contromanovra,INTRA_COLLISION(x3),Contromanovra,Counter Maneuver,T1,neurologico,extra_damage,,CO 04,True,False,True,True
ancestor_attacco_difesa_di_gruppo_co_06,difesa_di_gruppo,,Difesa di Gruppo,Group Defense,T1,neurologico,apply_status,focused,CO 06,True,False,False,True
ancestor_attacco_forza_liberata_bb_co_01,forza_liberata,,Forza Liberata,Released Strength,T2,neurologico,extra_damage,,BB CO 01-02,True,False,False,True
ancestor_attacco_risposta_di_combattimento_co_01,risposta_di_combattimento,,Risposta di Combattimento,Fight Response,T1,neurologico,extra_damage,,CO 01,True,True,True,True
ancestor_attacco_risposta_di_soprassalto_co_05,risposta_di_soprassalto,,Risposta di Soprassalto,Startle Response,T1,neurologico,extra_damage,,CO 05,True,False,False,True
ancestor_australopithecus_afarensis_aspettativa_di_vita_lf_03,aspettativa_di_vita,INTRA_COLLISION(x3),Aspettativa di Vita,Life Expectancy,T1,neurologico,apply_status,fed,LF 03,True,False,False,False
ancestor_australopithecus_afarensis_controllo_inibitorio_cc_04,controllo_inibitorio,,Controllo Inibitorio,Inhibitory Control,T1,neurologico,damage_reduction,,CC 04,True,False,False,False
ancestor_australopithecus_afarensis_efficienza_dei_termocettori_bb_th_01,efficienza_dei_termocettori,,Efficienza dei Termocettori,Thermoreceptors Efficiency,T2,neurologico,damage_reduction,,BB TH 01,True,False,False,False
ancestor_australopithecus_afarensis_efficienza_del_nucleo_ipotalamico_bb_th_03,efficienza_del_nucleo_ipotalamico,,Efficienza del Nucleo Ipotalamico,Hypothalamic Nucleus Efficiency,T2,neurologico,damage_reduction,,BB TH 03,True,False,False,False
ancestor_australopithecus_afarensis_efficienza_dell_area_preottica_bb_th_02,efficienza_dell_area_preottica,,Efficienza dell'Area Preottica,Preoptic Area Efficiency,T2,neurologico,damage_reduction,,BB TH 02,True,False,False,False
ancestor_australopithecus_afarensis_encefalizzazione_np_03,encefalizzazione,INTRA_COLLISION(x3),Encefalizzazione,Encephalization,T1,neurologico,apply_status,fed,NP 03,True,False,False,False
ancestor_australopithecus_afarensis_termoregolazione_th_01,termoregolazione,,Termoregolazione,Thermo Regulation,T1,neurologico,damage_reduction,,TH 01,True,False,False,False
ancestor_australopithecus_afarensis_via_nigrostriatale_dp_09,via_nigrostriatale,,Via Nigrostriatale,Nigrostriatal Pathway,T1,neurologico,damage_reduction,,DP 09,True,False,False,False
ancestor_australopithecus_afarensis_vie_dopaminergiche_dp_10,vie_dopaminergiche,INTRA_COLLISION(x10),Vie Dopaminergiche,Dopaminergic Pathways,T1,neurologico,damage_reduction,,DP 10,True,False,False,False
ancestor_australopithecus_afarensis_vie_dopaminergiche_dp_11,vie_dopaminergiche,INTRA_COLLISION(x10),Vie Dopaminergiche,Dopaminergic Pathways,T1,neurologico,damage_reduction,,DP 11,True,False,False,False
ancestor_australopithecus_afarensis_vie_dopaminergiche_dp_12,vie_dopaminergiche,INTRA_COLLISION(x10),Vie Dopaminergiche,Dopaminergic Pathways,T1,neurologico,damage_reduction,,DP 12,True,False,False,False
ancestor_australopithecus_afarensis_vie_dopaminergiche_dp_13,vie_dopaminergiche,INTRA_COLLISION(x10),Vie Dopaminergiche,Dopaminergic Pathways,T1,neurologico,damage_reduction,,DP 13,True,False,False,False
ancestor_autocontrollo_determinazione_bb_fr_01,determinazione,,Determinazione,Determination,T2,neurologico,extra_damage,,BB FR 01-04,True,False,False,True
ancestor_autocontrollo_dilatazione_temporale_percettiva_fr_05,dilatazione_temporale_percettiva,,Dilatazione Temporale Percettiva,Perceptual Time Dilation,T1,neurologico,extra_damage,,FR 05,True,False,False,True
ancestor_autocontrollo_distorsione_temporale_fr_02,distorsione_temporale,INTRA_COLLISION(x2),Distorsione Temporale,Temporal Distortion,T1,neurologico,extra_damage,,FR 02-03,True,True,False,True
ancestor_autocontrollo_distorsione_temporale_fr_04,distorsione_temporale,INTRA_COLLISION(x2),Distorsione Temporale,Temporal Distortion,T1,neurologico,extra_damage,,FR 04,True,False,False,True
ancestor_autocontrollo_tachipsichia_fr_01,tachipsichia,,Tachipsichia,Tachypsychia,T1,neurologico,extra_damage,,FR 01,True,True,False,True
ancestor_autocontrollo_velocita_di_elaborazione_interna_fr_06,velocita_di_elaborazione_interna,INTRA_COLLISION(x3),Velocita' di Elaborazione Interna,Internal Process Speed,T1,neurologico,apply_status,focused,FR 06,True,False,False,True
ancestor_autocontrollo_velocita_di_elaborazione_interna_fr_07,velocita_di_elaborazione_interna,INTRA_COLLISION(x3),Velocita' di Elaborazione Interna,Internal Process Speed,T1,neurologico,apply_status,focused,FR 07,True,False,False,True
ancestor_autocontrollo_velocita_di_elaborazione_interna_fr_08,velocita_di_elaborazione_interna,INTRA_COLLISION(x3),Velocita' di Elaborazione Interna,Internal Process Speed,T1,neurologico,apply_status,focused,FR 08,True,False,False,True
ancestor_comunicazione_auto_rafforzamento_cm_02,auto_rafforzamento,,Auto-Rafforzamento,Self Empowerment,T1,neurologico,apply_status,linked,CM 02,True,True,False,False
ancestor_comunicazione_bisogno_di_attaccamento_bb_hb_01,bisogno_di_attaccamento,INTRA_COLLISION(x3),Bisogno di Attaccamento,Attachment Need,T2,neurologico,apply_status,linked,BB HB 01,True,False,False,False
ancestor_comunicazione_bisogno_di_attaccamento_hb_01,bisogno_di_attaccamento,INTRA_COLLISION(x3),Bisogno di Attaccamento,Attachment Need,T1,neurologico,apply_status,linked,HB 01,True,False,False,False
ancestor_comunicazione_bisogno_di_attaccamento_hb_02,bisogno_di_attaccamento,INTRA_COLLISION(x3),Bisogno di Attaccamento,Attachment Need,T1,neurologico,apply_status,linked,HB 02,True,False,False,False
ancestor_comunicazione_cinesica_cm_01,cinesica,,Cinesica,Kinesics,T1,neurologico,apply_status,linked,CM 01,True,True,False,False
ancestor_comunicazione_comportamento_deimatico_it_01,comportamento_deimatico,,Comportamento Deimatico,Deimatic Behavior,T1,neurologico,apply_status,linked,IT 01,True,False,False,False
ancestor_comunicazione_forza_di_volonta_bb_it_01,forza_di_volonta,INTRA_COLLISION(x3),Forza di Volonta',Willpower,T2,neurologico,apply_status,linked,BB IT 01,True,False,False,False
ancestor_comunicazione_forza_di_volonta_bb_it_02,forza_di_volonta,INTRA_COLLISION(x3),Forza di Volonta',Willpower,T2,neurologico,apply_status,linked,BB IT 02,True,False,False,False
ancestor_comunicazione_forza_di_volonta_bb_it_03,forza_di_volonta,INTRA_COLLISION(x3),Forza di Volonta',Willpower,T2,neurologico,apply_status,linked,BB IT 03,True,False,False,False
ancestor_comunicazione_imitazione_cm_06,imitazione,,Imitazione,Imitation,T1,neurologico,apply_status,linked,CM 06,True,False,False,False
ancestor_comunicazione_linguaggio_del_corpo_cm_03,linguaggio_del_corpo,,Linguaggio del Corpo,Body Language,T1,neurologico,apply_status,linked,CM 03,True,False,False,False
ancestor_comunicazione_neurone_specchio_cm_05,neurone_specchio,,Neurone Specchio,Mirror Neuron,T1,neurologico,apply_status,linked,CM 05,True,False,False,False
ancestor_comunicazione_paura_indotta_it_02,paura_indotta,INTRA_COLLISION(x2),Paura Indotta,Induced Fear,T1,neurologico,apply_status,linked,IT 02,True,False,False,False
