old_id,proposed_native,disposition,needs_master_dd,basis,label_it,tier,category,effect_kind,status,amount,trigger,prov_code,in_biome_pools
ancestor_ardipithecus_ramidus_aspettativa_di_vita_lf_02,aspettativa_di_vita__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Aspettativa di Vita,T1,neurologico,apply_status,fed,,action_type=passive,LF 02,False
ancestor_ardipithecus_ramidus_encefalizzazione_np_02,encefalizzazione__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Encefalizzazione,T1,neurologico,apply_status,fed,,action_type=passive,NP 02,False
ancestor_ardipithecus_ramidus_inibizione_cognitiva_cc_03,inibizione_cognitiva,AUTO_UNIQUE,False,candidato unico,Inibizione Cognitiva,T1,neurologico,damage_reduction,,1,action_type=passive,CC 03,True
ancestor_ardipithecus_ramidus_iperfocalizzazione_zo_01,iperfocalizzazione,AUTO_UNIQUE,False,candidato unico,Iperfocalizzazione,T1,neurologico,damage_reduction,,1,action_type=passive,ZO 01,False
ancestor_ardipithecus_ramidus_locus_di_controllo_zo_02,locus_di_controllo,DEDUP_KEEP,True,identico ad altri 1 (mechanics uguali),Locus di Controllo,T1,neurologico,damage_reduction,,1,action_type=passive,ZO 02,False
ancestor_ardipithecus_ramidus_locus_di_controllo_zo_03,locus_di_controllo__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Locus di Controllo,T1,neurologico,damage_reduction,,1,action_type=passive,ZO 03,False
ancestor_ardipithecus_ramidus_personalita_autotelica_bb_zo_01,personalita_autotelica,DEDUP_KEEP,True,identico ad altri 2 (mechanics uguali),Personalita' Autotelica,T2,neurologico,damage_reduction,,2,action_type=passive,BB ZO 01,False
ancestor_ardipithecus_ramidus_personalita_autotelica_bb_zo_02,personalita_autotelica__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Personalita' Autotelica,T2,neurologico,damage_reduction,,2,action_type=passive,BB ZO 02,False
ancestor_ardipithecus_ramidus_personalita_autotelica_bb_zo_03,personalita_autotelica__retire2,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Personalita' Autotelica,T2,neurologico,damage_reduction,,2,action_type=passive,BB ZO 03,False
ancestor_ardipithecus_ramidus_via_mesolimbica_dp_05,via_mesolimbica,AUTO_UNIQUE,False,candidato unico,Via Mesolimbica,T1,neurologico,damage_reduction,,1,action_type=passive,DP 05,True
ancestor_ardipithecus_ramidus_vie_dopaminergiche_dp_06,vie_dopaminergiche__retire3,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Vie Dopaminergiche,T1,neurologico,damage_reduction,,1,action_type=passive,DP 06,False
ancestor_ardipithecus_ramidus_vie_dopaminergiche_dp_07,vie_dopaminergiche__retire4,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Vie Dopaminergiche,T1,neurologico,damage_reduction,,1,action_type=passive,DP 07,False
ancestor_ardipithecus_ramidus_vie_dopaminergiche_dp_08,vie_dopaminergiche__retire5,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Vie Dopaminergiche,T1,neurologico,damage_reduction,,1,action_type=passive,DP 08,False
ancestor_attacco_contromanovra_co_02,contromanovra_irascible,DISAMBIGUATED,True,differisce per requires_target_tag -> discriminator placeholder,Contromanovra,T1,neurologico,extra_damage,,1,action_type=attack;melee_only=True;min_mos=3;on_result=hit;requires_target_tag=irascible,CO 02,True
ancestor_attacco_contromanovra_co_03,contromanovra_wildlife,DISAMBIGUATED,True,differisce per requires_target_tag -> discriminator placeholder,Contromanovra,T1,neurologico,extra_damage,,1,action_type=attack;melee_only=True;min_mos=3;on_result=hit;requires_target_tag=wildlife,CO 03,False
ancestor_attacco_contromanovra_co_04,contromanovra_predator,DISAMBIGUATED,True,differisce per requires_target_tag -> discriminator placeholder,Contromanovra,T1,neurologico,extra_damage,,1,action_type=attack;melee_only=True;min_mos=3;on_result=hit;requires_target_tag=predator,CO 04,False
ancestor_attacco_difesa_di_gruppo_co_06,difesa_di_gruppo,AUTO_UNIQUE,False,candidato unico,Difesa di Gruppo,T1,neurologico,apply_status,focused,,action_type=attack;melee_only=True;on_result=hit,CO 06,False
ancestor_attacco_forza_liberata_bb_co_01,forza_liberata,AUTO_UNIQUE,False,candidato unico,Forza Liberata,T2,neurologico,extra_damage,,2,action_type=attack;melee_only=True;min_mos=5;on_result=hit,BB CO 01-02,False
ancestor_attacco_risposta_di_combattimento_co_01,risposta_di_combattimento,AUTO_UNIQUE,False,candidato unico,Risposta di Combattimento,T1,neurologico,extra_damage,,1,action_type=attack;melee_only=True;on_result=hit,CO 01,True
ancestor_attacco_risposta_di_soprassalto_co_05,risposta_di_soprassalto,AUTO_UNIQUE,False,candidato unico,Risposta di Soprassalto,T1,neurologico,extra_damage,,2,action_type=attack;melee_only=True;min_mos=5;on_result=hit,CO 05,False
ancestor_australopithecus_afarensis_aspettativa_di_vita_lf_03,aspettativa_di_vita__retire2,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Aspettativa di Vita,T1,neurologico,apply_status,fed,,action_type=passive,LF 03,False
ancestor_australopithecus_afarensis_controllo_inibitorio_cc_04,controllo_inibitorio,AUTO_UNIQUE,False,candidato unico,Controllo Inibitorio,T1,neurologico,damage_reduction,,1,action_type=passive,CC 04,False
ancestor_australopithecus_afarensis_efficienza_dei_termocettori_bb_th_01,efficienza_dei_termocettori,AUTO_UNIQUE,False,candidato unico,Efficienza dei Termocettori,T2,neurologico,damage_reduction,,2,action_type=passive,BB TH 01,False
ancestor_australopithecus_afarensis_efficienza_del_nucleo_ipotalamico_bb_th_03,efficienza_del_nucleo_ipotalamico,AUTO_UNIQUE,False,candidato unico,Efficienza del Nucleo Ipotalamico,T2,neurologico,damage_reduction,,2,action_type=passive,BB TH 03,False
ancestor_australopithecus_afarensis_efficienza_dell_area_preottica_bb_th_02,efficienza_dell_area_preottica,AUTO_UNIQUE,False,candidato unico,Efficienza dell'Area Preottica,T2,neurologico,damage_reduction,,2,action_type=passive,BB TH 02,False
ancestor_australopithecus_afarensis_encefalizzazione_np_03,encefalizzazione__retire2,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Encefalizzazione,T1,neurologico,apply_status,fed,,action_type=passive,NP 03,False
ancestor_australopithecus_afarensis_termoregolazione_th_01,termoregolazione,AUTO_UNIQUE,False,candidato unico,Termoregolazione,T1,neurologico,damage_reduction,,1,action_type=passive,TH 01,False
ancestor_australopithecus_afarensis_via_nigrostriatale_dp_09,via_nigrostriatale,AUTO_UNIQUE,False,candidato unico,Via Nigrostriatale,T1,neurologico,damage_reduction,,1,action_type=passive,DP 09,False
ancestor_australopithecus_afarensis_vie_dopaminergiche_dp_10,vie_dopaminergiche__retire6,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Vie Dopaminergiche,T1,neurologico,damage_reduction,,1,action_type=passive,DP 10,False
ancestor_australopithecus_afarensis_vie_dopaminergiche_dp_11,vie_dopaminergiche__retire7,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Vie Dopaminergiche,T1,neurologico,damage_reduction,,1,action_type=passive,DP 11,False
ancestor_australopithecus_afarensis_vie_dopaminergiche_dp_12,vie_dopaminergiche__retire8,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Vie Dopaminergiche,T1,neurologico,damage_reduction,,1,action_type=passive,DP 12,False
ancestor_australopithecus_afarensis_vie_dopaminergiche_dp_13,vie_dopaminergiche__retire9,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Vie Dopaminergiche,T1,neurologico,damage_reduction,,1,action_type=passive,DP 13,False
ancestor_autocontrollo_determinazione_bb_fr_01,determinazione,AUTO_UNIQUE,False,candidato unico,Determinazione,T2,neurologico,extra_damage,,2,action_type=attack;min_mos=5;on_result=hit,BB FR 01-04,False
ancestor_autocontrollo_dilatazione_temporale_percettiva_fr_05,dilatazione_temporale_percettiva,AUTO_UNIQUE,False,candidato unico,Dilatazione Temporale Percettiva,T1,neurologico,extra_damage,,1,action_type=attack;min_mos=4;on_result=hit,FR 05,False
ancestor_autocontrollo_distorsione_temporale_fr_02,distorsione_temporale_4_1,DISAMBIGUATED,True,"differisce per min_mos,amount -> discriminator placeholder",Distorsione Temporale,T1,neurologico,extra_damage,,1,action_type=attack;min_mos=4;on_result=hit,FR 02-03,True
ancestor_autocontrollo_distorsione_temporale_fr_04,distorsione_temporale_6_2,DISAMBIGUATED,True,"differisce per min_mos,amount -> discriminator placeholder",Distorsione Temporale,T1,neurologico,extra_damage,,2,action_type=attack;min_mos=6;on_result=hit,FR 04,False
ancestor_autocontrollo_tachipsichia_fr_01,tachipsichia,AUTO_UNIQUE,False,candidato unico,Tachipsichia,T1,neurologico,extra_damage,,1,action_type=attack;min_mos=3;on_result=hit,FR 01,True
ancestor_autocontrollo_velocita_di_elaborazione_interna_fr_06,velocita_di_elaborazione_interna_predator,DISAMBIGUATED,True,differisce per requires_target_tag -> discriminator placeholder,Velocita' di Elaborazione Interna,T1,neurologico,apply_status,focused,,action_type=attack;min_mos=5;on_result=hit;requires_target_tag=predator,FR 06,False
ancestor_autocontrollo_velocita_di_elaborazione_interna_fr_07,velocita_di_elaborazione_interna_irascible,DISAMBIGUATED,True,differisce per requires_target_tag -> discriminator placeholder,Velocita' di Elaborazione Interna,T1,neurologico,apply_status,focused,,action_type=attack;min_mos=5;on_result=hit;requires_target_tag=irascible,FR 07,False
ancestor_autocontrollo_velocita_di_elaborazione_interna_fr_08,velocita_di_elaborazione_interna_wildlife,DISAMBIGUATED,True,differisce per requires_target_tag -> discriminator placeholder,Velocita' di Elaborazione Interna,T1,neurologico,apply_status,focused,,action_type=attack;min_mos=5;on_result=hit;requires_target_tag=wildlife,FR 08,False
ancestor_comunicazione_auto_rafforzamento_cm_02,auto_rafforzamento,AUTO_UNIQUE,False,candidato unico,Auto-Rafforzamento,T1,neurologico,apply_status,linked,,action_type=passive,CM 02,True
ancestor_comunicazione_bisogno_di_attaccamento_bb_hb_01,bisogno_di_attaccamento_bb_hb_01,DISAMBIGUATED,True,differisce per  -> discriminator placeholder,Bisogno di Attaccamento,T2,neurologico,apply_status,linked,,action_type=passive,BB HB 01,False
ancestor_comunicazione_bisogno_di_attaccamento_hb_01,bisogno_di_attaccamento_hb_01,DISAMBIGUATED,True,differisce per  -> discriminator placeholder,Bisogno di Attaccamento,T1,neurologico,apply_status,linked,,action_type=passive,HB 01,False
ancestor_comunicazione_bisogno_di_attaccamento_hb_02,bisogno_di_attaccamento_hb_02,DISAMBIGUATED,True,differisce per  -> discriminator placeholder,Bisogno di Attaccamento,T1,neurologico,apply_status,linked,,action_type=passive,HB 02,False
ancestor_comunicazione_cinesica_cm_01,cinesica,AUTO_UNIQUE,False,candidato unico,Cinesica,T1,neurologico,apply_status,linked,,action_type=passive,CM 01,True
ancestor_comunicazione_comportamento_deimatico_it_01,comportamento_deimatico,AUTO_UNIQUE,False,candidato unico,Comportamento Deimatico,T1,neurologico,apply_status,linked,,action_type=passive,IT 01,False
ancestor_comunicazione_forza_di_volonta_bb_it_01,forza_di_volonta,DEDUP_KEEP,True,identico ad altri 2 (mechanics uguali),Forza di Volonta',T2,neurologico,apply_status,linked,,action_type=passive,BB IT 01,False
ancestor_comunicazione_forza_di_volonta_bb_it_02,forza_di_volonta__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Forza di Volonta',T2,neurologico,apply_status,linked,,action_type=passive,BB IT 02,False
ancestor_comunicazione_forza_di_volonta_bb_it_03,forza_di_volonta__retire2,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Forza di Volonta',T2,neurologico,apply_status,linked,,action_type=passive,BB IT 03,False
ancestor_comunicazione_imitazione_cm_06,imitazione,AUTO_UNIQUE,False,candidato unico,Imitazione,T1,neurologico,apply_status,linked,,action_type=passive,CM 06,False
