[sprt] launch: C:\Users\VGit\AppData\Local\Programs\Python\Python313\python.exe -u C:\dev\Game\tools\py\batch_calibrate_hardcore06.py --host http://localhost:3340 --n 20 --out C:\dev\Game\docs\playtest\sprt-hardcore_06-smoke-b.json --jsonl C:\dev\Game\docs\playtest\sprt-hardcore_06-smoke-b.jsonl --skip-health --encounter-class hardcore
[sprt] target band: [15%, 25%]
[sprt] min_n=5 max_n=20 check_every=5
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N=  5 WR=  0.0% CI95=[  0.0,  43.4] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 10 WR=  0.0% CI95=[  0.0,  27.8] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] N= 15 WR=  0.0% CI95=[  0.0,  20.4] -> CONTINUE
[sprt] subprocess exit code=0, completed N=20
[sprt] decision=CONTINUE N_final=20 WR=10.0% CI95=[2.8,30.1]
[sprt] elapsed=1113.0s saved=0 runs
[sprt] report: C:\dev\Game\docs\playtest\sprt-hardcore_06-smoke-b-report.json
