source,slug,trait_code,label,tier,legacy_flag,data_origin,sinergie,env_biomes
external_evo,rostro_emostatico_litico,TR-1101,Rostro Emostatico-Litico,T4,0,,scheletro_idraulico_a_pistoni,terrestre
external_evo,scheletro_idraulico_a_pistoni,TR-1102,Scheletro Idraulico a Pistoni,T4,0,,ipertrofia_muscolare_massiva;rostro_emostatico_litico,terrestre
external_evo,ipertrofia_muscolare_massiva,TR-1103,Ipertrofia Muscolare Massiva,T3,0,,scheletro_idraulico_a_pistoni,terrestre
external_evo,ectotermia_dinamica,TR-1104,Ectotermia Dinamica,T3,0,,ipertrofia_muscolare_massiva,terrestre
external_evo,organi_sismici_cutanei,TR-1105,Organi Sismici Cutanei,T2,0,,rostro_emostatico_litico,terrestre
external_evo,pelage_idrorepellente_avanzato,TR-1201,Pelage Idrorepellente Avanzato,T2,0,,coda_prensile_muscolare;scudo_gluteale_cheratinizzato,terrestre
external_evo,scudo_gluteale_cheratinizzato,TR-1202,Scudo Gluteale Cheratinizzato,T3,0,,pelage_idrorepellente_avanzato,terrestre
external_evo,articolazioni_multiassiali,TR-1203,Articolazioni Multiassiali,T3,0,,coda_prensile_muscolare,terrestre
external_evo,coda_prensile_muscolare,TR-1204,Coda Prensile Muscolare,T3,0,,articolazioni_multiassiali;rostro_linguale_prensile,terrestre
external_evo,rostro_linguale_prensile,TR-1205,Rostro Linguale Prensile,T3,0,,coda_prensile_muscolare,terrestre
external_evo,ermafroditismo_cronologico,TR-1301,Ermafroditismo Cronologico,T3,0,,locomozione_miriapode_ibrida,terrestre
external_evo,locomozione_miriapode_ibrida,TR-1302,Locomozione Miriapode Ibrida,T3,0,,artiglio_cinetico_a_urto,terrestre
external_evo,estroflessione_gastrica_acida,TR-1303,Estroflessione Gastrica Acida,T4,0,,artiglio_cinetico_a_urto,terrestre
external_evo,artiglio_cinetico_a_urto,TR-1304,Artiglio Cinetico a Urto,T4,0,,locomozione_miriapode_ibrida,terrestre
external_evo,sistemi_chimio_sonici,TR-1305,Sistemi Chimio-Sonici,T3,0,,locomozione_miriapode_ibrida,terrestre
external_evo,scheletro_pneumatico_a_maglie,TR-1401,Scheletro Pneumatico a Maglie,T3,0,,cinghia_iper_ciliare,terrestre
external_evo,cinghia_iper_ciliare,TR-1402,Cinghia Iper-Ciliare,T3,0,,scheletro_pneumatico_a_maglie,terrestre
external_evo,rete_filtro_polmonare,TR-1403,Rete Filtro-Polmonare,T3,0,,scheletro_pneumatico_a_maglie,terrestre
external_evo,canto_infrasonico_tattico,TR-1404,Canto Infrasonico Tattico,T4,0,,scheletro_pneumatico_a_maglie,terrestre
external_evo,siero_anti_gelo_naturale,TR-1405,Siero Anti-Gelo Naturale,T2,0,,scheletro_pneumatico_a_maglie,terrestre
