Tipo,Wing,Nome (EI),Differenze sintetiche
1,1w2,The Advocate,più caloroso e sociale; orientato al servizio e al contatto
1,1w9,The Idealist,"più riflessivo, stoico, idealista; più calmo e distaccato"
2,2w1,The Servant,"più contenuto, doveroso; tono più sobrio e ‘di servizio’"
2,2w3,The Host/Hostess,più ambizioso e orientato all’immagine; ospitale e assertivo
3,3w2,The Charmer,più relazionale e carismatico; cerca popolarità
3,3w4,The Professional,più riservato e professionale; attenzione alla qualità/autenticità
4,4w3,The Aristocrat,più estroverso e performativo; spinta a emergere
4,4w5,The Bohemian,più introspettivo e intellettuale; gusto per il ritiro
5,5w4,The Iconoclast,più originale/artistico; sensibilità estetica marcata
5,5w6,The Problem Solver,più tecnico/pragmatico; cautela e problem-solving
6,6w5,The Defender,più analitico e riservato; orientato a sistemi/regole
6,6w7,The Buddy,più socievole e reattivo; cerca incoraggiamento/opzioni
7,7w6,The Entertainer,più cooperativo e pianificatore; pensa al team
7,7w8,The Realist,più assertivo e deciso; cerca impatto immediato
8,8w7,The Maverick,più energico e imprenditoriale; orientato al rischio
8,8w9,The Bear,più stabile e protettivo; presenza calma e contenuta
9,9w1,The Dreamer,più idealista e ordinato; coscienzioso e corretto
9,9w8,The Referee,"più deciso, pratico; tende a proteggere i confini"
