name,type,subtype,environment_tags,movement,special_abilities,cr
Aasimar,outsider,native,any land,walk:30,channel positive energy;rebuke death;touch of good,0.5
Abaia,magical beast,aquatic,warm lakes,walk:20;swim:80,eldritch gizzard (su);endless coils (ex);wave rider (su);constrict;endless coils,10.0
Aboleth,aberration,aquatic,any aquatic,walk:10;swim:60,mucus cloud (ex);slime (ex),7.0
Accuser,outsider,devil; evil; extraplanar; lawful,any,walk:20;fly:60,disease (ex);infernal eye (su),3.0
Achaierai,outsider,evil; extraplanar; lawful,any land,walk:50,black cloud (su);black cloud,5.0
Adamantine Golem,construct,,any,walk:30,destructive strike (ex);indestructible (ex);immunity to magic (ex);destructive strike;trample,19.0
Adaro,monstrous humanoid,aquatic,warm oceans,walk:10;swim:50,poison (ex);poison use (ex);rain frenzy (su);speak with sharks (su);rain frenzy,3.0
Adherer,monstrous humanoid,,any temperate;underground,walk:30;climb:10,adhesive (su);grab,3.0
Adhukait,outsider,asura; evil; extraplanar; lawful,any,walk:40,dance of disaster (su);dual mind (su);dance of disaster,7.0
Adlet,humanoid,adlet; cold,cold plains;hills;mountains,walk:40,arctic stride (ex);frozen breath (su);frozen breath,10.0
Adult Black Dragon,dragon,water,warm marshes,walk:60;fly:200;swim:60,acid pool (su);acidic bite (su);charm reptiles (sp);corrupt water (sp);speak with reptiles (sp);abilities (sp);swamp stride (ex);water breathing (ex);breath weapon;corrupt water,11.0
Adult Blue Dragon,dragon,earth,warm deserts,walk:40;burrow:20;fly:200,desert thirst (su);electricity aura (su);mirage (su);sandstorm (su);sound imitation (ex);abilities (sp);storm breath (su);breath weapon;crush;desert thirst,13.0
Adult Brass Dragon,dragon,fire,warm deserts,walk:60;burrow:30;fly:200,desert wind (su);fire aura (su);move sand (sp);sandstorm (su);sleep breath (su);abilities (sp);summon djinni (sp);breath weapon;desert wind;sleep breath,11.0
Adult Brine Dragon,dragon,extraplanar; water,any aquatic,walk:60;fly:200;swim:60,capsize (ex);desiccating bite (su);painful strikes (su);abilities (sp);breath weapon,11.0
Adult Bronze Dragon,dragon,water,temperate coastlines,walk:40;fly:200;swim:60,change shape (su);electricity aura (su);repulsion breath (su);abilities (sp);tidal wave (su);vortex (ex);water breathing (ex);wave mastery (su);breath weapon;crush;repulsion breath,13.0
Adult Cloud Dragon,dragon,air; extraplanar,any sky,walk:40;fly:200;swim:40,cloud form (su);cloud breath (su);mist vision (su);abilities (sp);thundering bite (su);breath weapon;crush,13.0
Adult Copper Dragon,dragon,earth,warm hills,walk:40;fly:200,climb stone (ex);deadly joke (sp);mass laughter (sp);slow aura (su);slow breath (su);abilities (sp);trap master (ex);uncanny dodge (ex);b. weapon;slow breath,12.0
Adult Crystal Dragon,dragon,earth; extraplanar,any underground,walk:60;burrow:30;climb:30;fly:200,razor sharp (sp);ray reflection (ex);scintillating aura (su);abilities (sp);tremorsense (ex);breath weapon,10.0
Adult Forest Dragon,dragon,earth,any forest,walk:40;burrow:20;climb:30;fly:200,change shape (su);destructive crush (su);elemental breath (su);sound imitation (ex);stony death (su);woodland stride (ex);breath weapon;crush,14.0
Adult Gold Dragon,dragon,fire,warm plains,walk:60;fly:250;swim:60,change shape (su);detect gems (sp);divine aid (sp);fast flight (ex);fire aura (su);luck (sp);abilities (sp);weakening breath (su);breath weapon;crush;weakening breath,15.0
Adult Green Dragon,dragon,air,temperate forests,walk:40;fly:200;swim:40,awaken treants (su);camouflage (ex);miasma (su);abilities (sp);trackless step (ex);water breathing (ex);woodland stride (ex);breath weapon;crush,12.0
Adult Lunar Dragon,dragon,,vacuum,walk:40;burrow:20;fly:200,absolute cold (su);alien presence (su);bewildering breath (su);moonsilver (ex);reflect rays (su);reflected light (ex);bewildering breath;breath weapon;crush;moonsilver,13.0
Adult Magma Dragon,dragon,extraplanar; fire,any mountains;underground,walk:40;fly:200,magma tomb (su);magma breath (su);abilities (sp);superheated (su);breath weapon,12.0
Adult Red Dragon,dragon,fire,warm mountains,walk:40;fly:200,fire aura (su);incinerate (su);manipulate flames (su);melt stone (su);smoke vision (ex);abilities (sp);breath weapon;crush,14.0
Adult Sea Dragon,dragon,water,any water,walk:40;fly:200;swim:80,change shape (su);sea strider (su);tidal wave (su);torrent breath (su);unfettered swimmer (su);breath weapon;crush;torrent breath,12.0
Adult Silver Dragon,dragon,cold,temperate mountains,walk:40;fly:200,change shape (su);cloudwalking (su);cold aura (su);fog vision (ex);graceful flight (ex);paralyzing breath (su);reflective scales (su);abilities (sp);true courage (ex);breath weapon;crush;paralyzing breath,14.0
Adult Sky Dragon,dragon,air,temperate;warm mountains,walk:40;fly:200,borne aloft (su);celestial emissary (su);change shape (su);cloud sight (su);grounding breath (su);primal lightning (su);breath weapon;crush,13.0
Adult Solar Dragon,dragon,fire,vacuum,walk:50;fly:200,alien presence (su);beam of light (su);channel life (su);channel radiation (su);primal fire (su);breath weapon;channel life;crush;primal fire,13.0
