slug,label_it,label_en,tier,external_code,status
ali_fulminee,Ali Fulminee,Ali Fulminee,T1,,missing_in_external
ali_ioniche,Ali Ioniche,Ionic Wings,T1,,missing_in_external
ali_membrana_sonica,Ali a Membrana Sonica,Sonic Membrane Wings,T1,,missing_in_external
antenne_dustsense,Antenne Dustsense,Dustsense Antennae,T1,,missing_in_external
antenne_eco_turbina,Antenne Eco Turbina,Antenne Eco Turbina,T1,,missing_in_external
antenne_flusso_mareale,Antenne Flusso Mareale,Antenne Flusso Mareale,T1,,missing_in_external
antenne_microonde_cavernose,Antenne Microonde Cavernose,Antenne Microonde Cavernose,T1,,missing_in_external
antenne_plasmatiche_tempesta,Antenne Plasmatiche di Tempesta,Storm Plasma Antennae,T3,,missing_in_external
antenne_reagenti,Antenne Reagenti,Antenne Reagenti,T1,,missing_in_external
antenne_tesla,Antenne Tesla,Antenne Tesla,T1,,missing_in_external
antenne_waveguide,Antenne Waveguide,Antenne Waveguide,T1,,missing_in_external
antenne_wideband,Antenne Wideband,Antenne Wideband,T1,,missing_in_external
appendici_risonanti_marea,Appendici Risonanti Marea,Appendici Risonanti Marea,T1,,missing_in_external
appendici_thermotattiche,Appendici Thermotattiche,Appendici Thermotattiche,T1,,missing_in_external
armatura_pietra_planare,Armatura di Pietra Planare,Planar Stone Plating,T2,,missing_in_external
artigli_acidofagi,Artigli Acidofagi,Artigli Acidofagi,T1,,missing_in_external
artigli_induzione,Artigli Induzione,Artigli Induzione,T1,,missing_in_external
artigli_radice,Artigli Radice,Artigli Radice,T1,,missing_in_external
artigli_scivolo_silente,Artigli Scivolo Silente,Artigli Scivolo Silente,T1,,missing_in_external
artigli_sette_vie,Artigli a Sette Vie,Seven-Way Talons,T1,,missing_in_external
artigli_sghiaccio_glaciale,Artigli Sghiaccio Glaciale,Artigli Sghiaccio Glaciale,T2,,missing_in_external
artigli_vetrificati,Artigli Vetrificati,Artigli Vetrificati,T1,,missing_in_external
aura_scudo_radianza,Aura Scudo di Radianza,Radiant Shield Aura,T3,,missing_in_external
baffi_mareomotori,Baffi Mareomotori,Baffi Mareomotori,T1,,missing_in_external
barbigli_sensori_plasma,Barbigli Sensori Plasma,Barbigli Sensori Plasma,T1,,missing_in_external
barriere_miasma_glaciale,Barriere Miasma Glaciale,Barriere Miasma Glaciale,T1,,missing_in_external
batteri_endosimbionti_chemio,Batteri Endosimbionti Chemio,Batteri Endosimbionti Chemio,T1,,missing_in_external
batteri_termofili_endosimbiosi,Batteri Termofili Endosimbiosi,Batteri Termofili Endosimbiosi,T1,,missing_in_external
bioantenne_gravitiche,Bioantenne Gravitiche,Gravitic Bio-Antennae,,,missing_in_external
biochip_memoria,Biochip Memoria,Biochip Memoria,T1,,missing_in_external
biofilm_glow,Biofilm Glow,Biofilm Glow,T1,,missing_in_external
biofilm_iperarido,Biofilm Iperarido,Biofilm Iperarido,T1,,missing_in_external
branchie_dual_mode,Branchie Dual Mode,Branchie Dual Mode,T1,,missing_in_external
branchie_eoliche,Branchie Eoliche,Branchie Eoliche,T1,,missing_in_external
branchie_metalloidi,Branchie Metalloidi,Branchie Metalloidi,T1,,missing_in_external
branchie_microfiltri,Branchie Microfiltri,Branchie Microfiltri,T1,,missing_in_external
branchie_osmotiche_salmastra,Branchie Osmotiche Salmastre,Branchie Osmotiche Salmastre,T2,,missing_in_external
branchie_solfatiche,Branchie Solfatiche,Branchie Solfatiche,T1,,missing_in_external
branchie_turbina,Branchie Turbina,Branchie Turbina,T1,,missing_in_external
bulbi_radici_permafrost,Bulbi Radici del Permafrost,Bulbi Radici del Permafrost,T2,,missing_in_external
camere_anticorrosione,Camere Anticorrosione,Camere Anticorrosione,T1,,missing_in_external
camere_mirage,Camere Mirage,Camere Mirage,T1,,missing_in_external
camere_nutrienti_vent,Camere Nutrienti Vent,Camere Nutrienti Vent,T1,,missing_in_external
camere_risonanza_abyssal,Camere di Risonanza Abyssal,Abyssal Resonance Chambers,,,missing_in_external
canto_risonante,Canto Risonante,Resonant Chant,,,missing_in_external
capillari_criogenici,Capillari Criogenici,Capillari Criogenici,T1,,missing_in_external
capillari_fluoridici,Capillari Fluoridici,Capillari Fluoridici,T1,,missing_in_external
capillari_fotovoltaici,Capillari Fotovoltaici,Capillari Fotovoltaici,T1,,missing_in_external
