# Ancestors: The Humankind Odyssey - Neurons recovery dump v07
# Source: Fandom wiki (ancestors.fandom.com), retrieved 2026-04-25 via MediaWiki API
# License: CC BY-NC-SA 3.0 (Fandom default). Each row attributes branch + permalink in sources.
# Coverage: 297/297 neurons across 18 branches (full recovery vs RFC v0.1 promise of ~263 missing)
# DO NOT commit to data/core/* without RFC review.
code,branch,name,genetic,effect_short,unlock_trigger_hint,sources,notes
AB 01,Ambulation,Endurance,No,Moving requires a lot less energy.,,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Endurance_(AB_01),
AB 02,Ambulation,Movement Endurance,No,Moving requires less energy.,,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Movement_Endurance_(AB_02),
AB 03,Ambulation,Movement Endurance,No,Energy loss while moving is minimized,,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Movement_Endurance_(AB_03),
AB 04,Ambulation,Climb Endurance,No,Climbing requires less energy.,,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Climb_Endurance_(AB_04),
AB 05,Ambulation,Climb Endurance,No,Climbing requires less energy.,,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Climb_Endurance_(AB_05),
AB 06,Ambulation,Climb Endurance,No,Energy loss while climbing is minimized.,,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Climb_Endurance_(AB_06),
AB 07,Ambulation,Carrying Endurance,No,Moving while carrying an item with both hands requires less energy.,HOLD (button) near a heavy or big item to carry it using both hands.,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Carrying_Endurance_(AB_07),
AB 08,Ambulation,Carrying Endurance,No,Moving while carrying an item with both hands requires less energy.,HOLD (button) near a heavy or big item to carry it using both hands.,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Carrying_Endurance_(AB_08),
AB 09,Ambulation,Carrying Endurance,No,Energy loss while carrying items is minimized.,HOLD (button) near a heavy or big item to carry it using both hands.,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Carrying_Endurance_(AB_09),
AB 10,Ambulation,Pain Endurance,No,Moving while injured requires less energy.,,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Pain_Endurance_(AB_10),
AB 11,Ambulation,Pain Endurance,No,Moving while injured requires less energy.,,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Pain_Endurance_(AB_11),
AB 12,Ambulation,Pain Endurance,No,Energy loss while moving with an injury is minimized.,,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Pain_Endurance_(AB_12),
BB AB 01,Ambulation,Ambulation Speed,Yes,Movement speed is increased.,,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Ambulation_Speed_(BB_AB_01),
BB AB 02,Ambulation,Ambulation Speed,Yes,Movement speed is increased.,,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Ambulation_Speed_(BB_AB_02),
BB AB 03,Ambulation,Ambulation Speed,Yes,Movement speed is maximized.,,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Ambulation_Speed_(BB_AB_03),
BB AB 04,Ambulation,Lower Body Strength,Yes,"Jump distance is increased. | | HOLD (button) to sprint, then RELEASE (button) to jump.","Jump distance is increased. | HOLD (button) to sprint, then RELEASE (button) to jump.",Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Lower_Body_Strength_(BB_AB_04),
BB AB 05,Ambulation,Lower Body Strength,Yes,Jump distance is maximized.,Jump distance is maximized.,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Lower_Body_Strength_(BB_AB_05),
BB AB 06,Ambulation,Climb Speed,Yes,Climbing speed is increased.,,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Climb_Speed_(BB_AB_06),
BB AB 07,Ambulation,Climb Speed,Yes,Climbing speed is increased.,,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Climb_Speed_(BB_AB_07),
BB AB 08,Ambulation,Climb Speed,Yes,Climbing speed is maximized.,,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Climb_Speed_(BB_AB_08),
BB AB 09,Ambulation,Carrying Speed,Yes,Movement speed while carrying items is increased.,,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Carrying_Speed_(BB_AB_09),
BB AB 10,Ambulation,Carrying Speed,Yes,Movement speed while carrying items is increased.,,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Carrying_Speed_(BB_AB_10),
BB AB 11,Ambulation,Carrying Speed,Yes,Movement speed while carrying items is maximized.,,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Carrying_Speed_(BB_AB_11),
BB AB 12,Ambulation,Pain Threshold,Yes,Movement speed while injured is increased.,,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Pain_Threshold_(BB_AB_12),
BB AB 13,Ambulation,Pain Threshold,Yes,Movement speed while injured is increased.,,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Pain_Threshold_(BB_AB_13),
BB AB 14,Ambulation,Pain Threshold,Yes,Movement speed while injured is maximized.,,Ambulation (neuronal branch); https://ancestors.fandom.com/wiki/Pain_Threshold_(BB_AB_14),
CC 03,Ardipithecus Ramidus,Cognitive Inhibition,No,Venturing into an unknown area causes less fear.,,Ardipithecus Ramidus (neuronal branch); https://ancestors.fandom.com/wiki/Cognitive_Inhibition_(CC_03),
DP 05,Ardipithecus Ramidus,Mesolimbic Pathway,No,The ability to synthesize neurotransmitters has increased. | More Dopamine can be accumulated.,,Ardipithecus Ramidus (neuronal branch); https://ancestors.fandom.com/wiki/Mesolimbic_Pathway_(DP_05),
DP 06,Ardipithecus Ramidus,Dopaminergic Pathways,No,More dopamine is generated following displays of physical prowess.,,Ardipithecus Ramidus (neuronal branch); https://ancestors.fandom.com/wiki/Dopaminergic_Pathways_(DP_06),
DP 07,Ardipithecus Ramidus,Dopaminergic Pathways,No,More dopamine is generated following social interactions.,,Ardipithecus Ramidus (neuronal branch); https://ancestors.fandom.com/wiki/Dopaminergic_Pathways_(DP_07),
DP 08,Ardipithecus Ramidus,Dopaminergic Pathways,No,More dopamine is generated after discoveries or after creating and using a tool.,,Ardipithecus Ramidus (neuronal branch); https://ancestors.fandom.com/wiki/Dopaminergic_Pathways_(DP_08),
LF 02,Ardipithecus Ramidus,Life Expectancy,No,Life expectancy has increased. | More stamina and energy can be accumulated.,,Ardipithecus Ramidus (neuronal branch); https://ancestors.fandom.com/wiki/Life_Expectancy_(LF_02),
NP 02,Ardipithecus Ramidus,Encephalization,No,The brain size has increased. | More Neuronal Energy can be accumulated.,,Ardipithecus Ramidus (neuronal branch); https://ancestors.fandom.com/wiki/Encephalization_(NP_02),
ZO 01,Ardipithecus Ramidus,Hyperfocus,No,"When the dopamine level is high enough, intense concentration is possible.",PRESS (button) and (button) simultaneously to enhance concentration by slowing time down.,Ardipithecus Ramidus (neuronal branch); https://ancestors.fandom.com/wiki/Hyperfocus_(ZO_01),
ZO 02,Ardipithecus Ramidus,Locus of Control,No,It is possible to concentrate for a longer period of time.,PRESS (button) and (button) simultaneously to enhance concentration by slowing time down.,Ardipithecus Ramidus (neuronal branch); https://ancestors.fandom.com/wiki/Locus_of_Control_(ZO_02),
ZO 03,Ardipithecus Ramidus,Locus of Control,No,It is possible to concentrate for a longer period of time.,PRESS (button) and (button) simultaneously to enhance concentration by slowing time down.,Ardipithecus Ramidus (neuronal branch); https://ancestors.fandom.com/wiki/Locus_of_Control_(ZO_03),
BB ZO 01,Ardipithecus Ramidus,Autotelic Personality,Yes,The faculty of concentration requires less dopamine.,PRESS (button) and (button) simultaneously to enhance concentration by slowing time down.,Ardipithecus Ramidus (neuronal branch); https://ancestors.fandom.com/wiki/Autotelic_Personality_(BB_ZO_01),
BB ZO 02,Ardipithecus Ramidus,Autotelic Personality,Yes,The faculty of concentration requires less dopamine.,PRESS (button) and (button) simultaneously to enhance concentration by slowing time down.,Ardipithecus Ramidus (neuronal branch); https://ancestors.fandom.com/wiki/Autotelic_Personality_(BB_ZO_02),
BB ZO 03,Ardipithecus Ramidus,Autotelic Personality,Yes,The faculty of concentration requires less dopamine.,PRESS (button) and (button) simultaneously to enhance concentration by slowing time down.,Ardipithecus Ramidus (neuronal branch); https://ancestors.fandom.com/wiki/Autotelic_Personality_(BB_ZO_03),
CO 01,Attack,Fight Response,No,The preparation speed for a counterattack is increased. MOVE (button) to turn toward aggressor.,HOLD (button) to prime counterattack. RELEASE (button) at the right time to counterattack.,Attack (neuronal branch); https://ancestors.fandom.com/wiki/Fight_Response_(CO_01),
CO 02,Attack,Counter Maneuver,No,The preparation speed for a counterattack against an irascible animal is increased. MOVE (button) to turn toward aggressor.,HOLD (button) to prime counterattack. RELEASE (button) at the right time to counterattack.,Attack (neuronal branch); https://ancestors.fandom.com/wiki/Counter_Maneuver_(CO_02),
CO 03,Attack,Counter Maneuver,No,The preparation speed for a counterattack against a wildlife animal is increased. MOVE (button) to turn toward aggressor.,HOLD (button) to prime counterattack. RELEASE (button) at the right time to counterattack.,Attack (neuronal branch); https://ancestors.fandom.com/wiki/Counter_Maneuver_(CO_03),
CO 04,Attack,Counter Maneuver,No,The preparation speed for a counterattack against a predator is increased. MOVE (button) to turn toward aggressor.,HOLD (button) to prime counterattack. RELEASE (button) at the right time to counterattack.,Attack (neuronal branch); https://ancestors.fandom.com/wiki/Counter_Maneuver_(CO_04),
CO 05,Attack,Startle Response,No,The preparation speed for a counterattack is maximized. MOVE (button) to turn toward aggressor.,HOLD (button) to prime counterattack. RELEASE (button) at the right time to counterattack.,Attack (neuronal branch); https://ancestors.fandom.com/wiki/Startle_Response_(CO_05),
CO 06,Attack,Group Defense,No,"Clan members have the ability to defend themselves during an attack, provided they have an effective weapon in hand.",,Attack (neuronal branch); https://ancestors.fandom.com/wiki/Group_Defense_(CO_06),
BB CO 01,Attack,Released Strength,Yes,A successful strike causes more damage. MOVE (button) to turn toward aggressor.,HOLD (button) to prime counterattack. RELEASE (button) at the right time to counterattack.,Attack (neuronal branch); https://ancestors.fandom.com/wiki/Released_Strength_(BB_CO_01),
BB CO 02,Attack,Released Strength,Yes,A successful strike causes more damage. MOVE (button) to turn toward aggressor.,HOLD (button) to prime counterattack. RELEASE (button) at the right time to counterattack.,Attack (neuronal branch); https://ancestors.fandom.com/wiki/Released_Strength_(BB_CO_02),
CC 04,Australopithecus Afarensis,Inhibitory Control,No,Venturing into an unknown area causes less fear.,,Australopithecus Afarensis (neuronal branch); https://ancestors.fandom.com/wiki/Inhibitory_Control_(CC_04),
DP 09,Australopithecus Afarensis,Nigrostriatal Pathway,No,The ability to synthesize neurotransmitters has increased. | More Dopamine can be accumulated.,,Australopithecus Afarensis (neuronal branch); https://ancestors.fandom.com/wiki/Nigrostriatal_Pathway_(DP_09),
DP 10,Australopithecus Afarensis,Dopaminergic Pathways,No,More dopamine is generated following displays of physical prowess.,,Australopithecus Afarensis (neuronal branch); https://ancestors.fandom.com/wiki/Dopaminergic_Pathways_(DP_10),
DP 11,Australopithecus Afarensis,Dopaminergic Pathways,No,More dopamine is generated following social interactions.,,Australopithecus Afarensis (neuronal branch); https://ancestors.fandom.com/wiki/Dopaminergic_Pathways_(DP_11),
DP 12,Australopithecus Afarensis,Dopaminergic Pathways,No,More dopamine is generated after discoveries or after creating and using a tool.,,Australopithecus Afarensis (neuronal branch); https://ancestors.fandom.com/wiki/Dopaminergic_Pathways_(DP_12),
DP 13,Australopithecus Afarensis,Dopaminergic Pathways,No,More dopamine is generated.,,Australopithecus Afarensis (neuronal branch); https://ancestors.fandom.com/wiki/Dopaminergic_Pathways_(DP_13),
LF 03,Australopithecus Afarensis,Life Expectancy,No,Life expectancy has increased. | More stamina and energy can be accumulated.,,Australopithecus Afarensis (neuronal branch); https://ancestors.fandom.com/wiki/Life_Expectancy_(LF_03),
NP 03,Australopithecus Afarensis,Encephalization,No,The brain size has increased. | More Neuronal Energy can be accumulated.,,Australopithecus Afarensis (neuronal branch); https://ancestors.fandom.com/wiki/Encephalization_(NP_03),
TH 01,Australopithecus Afarensis,Thermo Regulation,No,The impacts of climatic variations on the vitality are diminished.,,Australopithecus Afarensis (neuronal branch); https://ancestors.fandom.com/wiki/Thermo_Regulation_(TH_01),
BB TH 01,Australopithecus Afarensis,Thermoreceptors Efficiency,Yes,The impacts of climatic variations on the vitality are diminished.,,Australopithecus Afarensis (neuronal branch); https://ancestors.fandom.com/wiki/Thermoreceptors_Efficiency_(BB_TH_01),
BB TH 02,Australopithecus Afarensis,Preoptic Area Efficiency,Yes,The impacts of climatic variations on the vitality are diminished.,,Australopithecus Afarensis (neuronal branch); https://ancestors.fandom.com/wiki/Preoptic_Area_Efficiency_(BB_TH_02),
BB TH 03,Australopithecus Afarensis,Hypothalamic Nucleus Efficiency,Yes,The impacts of climatic variations on the vitality are diminished.,,Australopithecus Afarensis (neuronal branch); https://ancestors.fandom.com/wiki/Hypothalamic_Nucleus_Efficiency_(BB_TH_03),
CM 01,Communication,Kinesics,No,The ability to gather all clan members is acquired.,HOLD (button) to gather all clan members and have them follow you.,Communication (neuronal branch); https://ancestors.fandom.com/wiki/Kinesics_(CM_01),
CM 02,Communication,Self Empowerment,No,"While following you, clan members are able to automatically mimic an intimidation or the action of conquering fear.",,Communication (neuronal branch); https://ancestors.fandom.com/wiki/Self_Empowerment_(CM_02),
CM 03,Communication,Body Language,No,"It is now possible to ask, from a distance, some clan members to come closer and follow.","PRESS (button) for senses, then through the Sense Of Hearing, HOLD (button) & RELEASE (button) to have the visible clan members follow you.",Communication (neuronal branch); https://ancestors.fandom.com/wiki/Body_Language_(CM_03),
CM 04,Communication,Group Unity,No,A group intimidation is more effective against any threat.,"When in a group, HOLD (button) to intimidate a predator when close enough.",Communication (neuronal branch); https://ancestors.fandom.com/wiki/Group_Unity_(CM_04),
CM 05,Communication,Mirror Neuron,No,"It is now possible to ask clan members to mimic the grabbing of an item, then eating it if it is food.","After having grabbed an Item, DOUBLE-TAP (button) for the clan members close to you to mimic your grabbing. Then do the same for eating.",Communication (neuronal branch); https://ancestors.fandom.com/wiki/Mirror_Neuron_(CM_05),
CM 06,Communication,Imitation,No,It is now possible to ask clan members to mimic switching hand and altering a particular item.,DOUBLE-TAP (button) for the clan members close to you to mimic your action—if they have the same item in their hand.,Communication (neuronal branch); https://ancestors.fandom.com/wiki/Imitation_(CM_06),
CM 07,Communication,Group Unity,No,A group intimidation is more effective against any threat.,"When in a group, HOLD (button) to intimidate a predator when close enough.",Communication (neuronal branch); https://ancestors.fandom.com/wiki/Group_Unity_(CM_07),
HB 01,Communication,Attachment Need,No,"During a generation time lapse, adults will automatically form couples and one baby will be born from their unions.",,Communication (neuronal branch); https://ancestors.fandom.com/wiki/Attachment_Need_(HB_01),
HB 02,Communication,Attachment Need,No,"During a generation time lapse, adults will automatically form couples and two babies will be born from their unions.",,Communication (neuronal branch); https://ancestors.fandom.com/wiki/Attachment_Need_(HB_02),
IT 01,Communication,Deimatic Behavior,No,The chances of successfully intimidating a threat and scaring it away are increased.,HOLD (button) to intimidate a threat when close enough.,Communication (neuronal branch); https://ancestors.fandom.com/wiki/Deimatic_Behavior_(IT_01),
IT 02,Communication,Induced Fear,No,The chances of successfully intimidating a predator and scaring it away are increased.,HOLD (button) to intimidate a predator when close enough.,Communication (neuronal branch); https://ancestors.fandom.com/wiki/Induced_Fear_(IT_02),
IT 03,Communication,Induced Fear,No,The chances of successfully intimidating an irascible opponent and scaring it away are increased.,HOLD (button) to intimidate an irascible opponent when close enough.,Communication (neuronal branch); https://ancestors.fandom.com/wiki/Induced_Fear_(IT_03),
IT 04,Communication,Danger Perception,No,Predators induce less fear.,,Communication (neuronal branch); https://ancestors.fandom.com/wiki/Danger_Perception_(IT_04),
IT 05,Communication,Danger Perception,No,Irascible opponents induce less fear.,,Communication (neuronal branch); https://ancestors.fandom.com/wiki/Danger_Perception_(IT_05),
IT 06,Communication,Dominant Species,No,Intimidation effectiveness is maximized.,HOLD (button) to intimidate a threat when close enough.,Communication (neuronal branch); https://ancestors.fandom.com/wiki/Dominant_Species_(IT_06),
BB CM 01,Communication,Social Confidence,Yes,A call to gather all clan members now has a wider range.,HOLD (button) to gather all clan members and have them follow you.,Communication (neuronal branch); https://ancestors.fandom.com/wiki/Social_Confidence_(BB_CM_01),
BB HB 01,Communication,Attachment Need,Yes,"During a generation time lapse, each adult clan member will have automatically developed bonds with a mate so couples will be formed.",,Communication (neuronal branch); https://ancestors.fandom.com/wiki/Attachment_Need_(BB_HB_01),
BB IT 01,Communication,Willpower,Yes,All threats induce less fear.,,Communication (neuronal branch); https://ancestors.fandom.com/wiki/Willpower_(BB_IT_01),
BB IT 02,Communication,Willpower,Yes,All threats induce less fear.,,Communication (neuronal branch); https://ancestors.fandom.com/wiki/Willpower_(BB_IT_02),
BB IT 03,Communication,Willpower,Yes,All threats induce less fear.,,Communication (neuronal branch); https://ancestors.fandom.com/wiki/Willpower_(BB_IT_03),
AL 01,Dexterity,Controlling Strength,No,The success rate of an alteration using a tool is increased.,"TAP (button) to switch an item from one hand to the other. HOLD (button) to take position to alter, then follow the steps proposed by the Contextual UI, with a tool in right hand.",Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Controlling_Strength_(AL_01),
